family,run,param_hash,first10_actions,ret,sharpe,maxdd
kalman,A,209595dd8ba57e88,1111111111,0.420068,0.946,-0.1851
kalman,B,209595dd8ba57e88,1111111111,0.420068,0.946,-0.1851
raw,A,0701f373753e87f8,1111111111,0.389887,0.7768,-0.2729
raw,B,0701f373753e87f8,1111111111,0.389887,0.7768,-0.2729
